Kanton;Jahr;CVP;SP;SVP
Bern;1998;0.9;25.9;31.7
Luzern;1998;48.6;9.5;0.0
Uri;1998;;;
Schwyz ;1998;37.9;14.0;15.2
Obwalden;1998;63.6;10.2;0.0
Nidwalden;1998;47.5;;
Glarus;1998;14.6;15.6;26.6
Zug;1998;33.6;6.1;12.6
Freiburg;1998;33.6;23.2;8.4
Solothurn;1998;24.4;25.1;6.4
Basel-Stadt;1998;9.5;27.0;0.0
Basel-Landschaft;1998;14.0;23.6;11.7
Schaffhausen;1998;5.5;27.7;27.2
Appenzell A. Rh. ;1998;;;
Appenzell I. Rh.;1998;;;
St. Gallen;1998;33.8;15.2;9.8
Graubünden;1998;;;
Aargau;1998;17.3;21.7;21.9
Thurgau ;1998;18.4;14.9;26.1
Tessin;1998;27.7;16.0;1.2
Waadt;1998;1.6;24.2;8.9
Wallis;1998;53.6;17.0;0.0
Neuenburg;1998;0.6;33.0;0.0
Genf;1998;11.2;20.6;0.0
Jura;1998;31.7;21.9;2.3
Zürich;1999;6.7;22.1;28.9
