"Jahr","Kanton","Ehedauer",Scheidungen
"1989","Appenzell Ausserrhoden","Ehedauer - Total",80
"1989","Appenzell Innerrhoden","Ehedauer - Total",11
"1989","St. Gallen","Ehedauer - Total",719
"1989","Graubünden / Grigioni / Grischun","Ehedauer - Total",219
"1989","Aargau","Ehedauer - Total",786
"1989","Thurgau","Ehedauer - Total",333
"1989","Ticino","Ehedauer - Total",480
"1989","Vaud","Ehedauer - Total",1386
"1989","Valais / Wallis","Ehedauer - Total",334
"1989","Neuchâtel","Ehedauer - Total",390
"1989","Genève","Ehedauer - Total",1100
"1989","Jura","Ehedauer - Total",79
"1990","Schweiz","Ehedauer - Total",13184
"1990","Zürich","Ehedauer - Total",2871
"1990","Bern / Berne","Ehedauer - Total",1636
"1990","Luzern","Ehedauer - Total",450
"1990","Uri","Ehedauer - Total",16
"1990","Schwyz","Ehedauer - Total",153
"1990","Obwalden","Ehedauer - Total",37
"1990","Nidwalden","Ehedauer - Total",32
"1990","Glarus","Ehedauer - Total",46
"1990","Zug","Ehedauer - Total",150
"1990","Fribourg / Freiburg","Ehedauer - Total",270
"1990","Solothurn","Ehedauer - Total",448
"1990","Basel-Stadt","Ehedauer - Total",461
"1990","Basel-Landschaft","Ehedauer - Total",504
"1990","Schaffhausen","Ehedauer - Total",150
"1990","Appenzell Ausserrhoden","Ehedauer - Total",78
"1990","Appenzell Innerrhoden","Ehedauer - Total",10
"1990","St. Gallen","Ehedauer - Total",713
"1990","Graubünden / Grigioni / Grischun","Ehedauer - Total",255
"1990","Aargau","Ehedauer - Total",830
"1990","Thurgau","Ehedauer - Total",338
"1990","Ticino","Ehedauer - Total",472
"1990","Vaud","Ehedauer - Total",1341
